City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Tiksi,RU,2021-07-28 21:27:14,71.6872,128.8694,39.52,87,80,6.96
102,Dingle,PH,2021-07-28 21:27:15,10.9995,122.6711,77.86,86,81,8.61
103,Bushenyi,UG,2021-07-28 21:27:15,-0.5853,30.2114,64.42,59,76,2.04
104,Ghanzi,BW,2021-07-28 21:27:15,-21.5667,21.7833,51.62,40,0,5.28
105,Ulaanbaatar,MN,2021-07-28 21:27:16,47.9077,106.8832,59.13,77,40,4.47
106,Annau,TM,2021-07-28 21:27:16,37.8876,58.516,87.3,20,40,6.91
107,Kapaa,US,2021-07-28 21:27:17,22.0752,-159.319,82.72,73,20,1.01
108,Avarua,CK,2021-07-28 21:27:17,-21.2078,-159.775,75.25,73,75,5.75
109,Kendari,ID,2021-07-28 21:27:17,-3.945,122.4989,74.08,95,100,3.38
110,Srednekolymsk,RU,2021-07-28 21:27:18,67.45,153.6833,36.5,99,100,9.26
111,Bredasdorp,ZA,2021-07-28 21:27:18,-34.5322,20.0403,49.32,66,29,9.22
112,Ocean City,US,2021-07-28 21:27:18,39.2776,-74.5746,82.33,64,23,10.2
113,San Cristobal,VE,2021-07-28 21:27:19,7.7669,-72.225,78.98,64,96,6.62
114,Verkh-Usugli,RU,2021-07-28 21:27:19,52.7,115.1667,52.38,96,66,2.86
115,New Norfolk,AU,2021-07-28 21:27:19,-42.7826,147.0587,42.58,83,96,3.89
116,Impfondo,CG,2021-07-28 21:27:20,1.6381,18.0667,74.37,81,90,4.36
117,Olutanga,PH,2021-07-28 21:27:20,7.3106,122.8464,83.59,76,48,6.58
118,Phan Thiet,VN,2021-07-28 21:27:20,10.9333,108.1,77.7,88,100,10.27
119,Viedma,AR,2021-07-28 21:27:21,-40.8135,-62.9967,48.25,47,17,8.46
120,East Wenatchee,US,2021-07-28 21:27:21,47.4157,-120.2931,94.64,26,1,1.01
121,Leningradskiy,RU,2021-07-28 21:27:21,69.3833,178.4167,33.24,100,100,16.55
122,Tuensang,IN,2021-07-28 21:27:22,26.2833,94.8333,69.64,97,88,4.61
123,Rocha,UY,2021-07-28 21:24:37,-34.4833,-54.3333,42.64,66,17,18.77
124,Chalisgaon,IN,2021-07-28 21:27:22,20.4667,75.0167,76.64,80,100,16.58
125,Lusambo,CD,2021-07-28 21:27:23,-4.9667,23.45,71.62,39,11,0.83
126,Severo-Kurilsk,RU,2021-07-28 21:27:23,50.6789,156.125,59.13,90,81,6.69
127,Shaoxing,CN,2021-07-28 21:27:23,30.011,120.5715,80.55,95,78,4.47
128,Yar-Sale,RU,2021-07-28 21:27:24,66.8333,70.8333,43.38,89,37,4.97
129,Umm Lajj,SA,2021-07-28 21:27:24,25.0213,37.2685,88.75,56,14,7.27
130,General Roca,AR,2021-07-28 21:27:25,-39.0333,-67.5833,57.6,26,0,9.26
131,Hobyo,SO,2021-07-28 21:27:25,5.3505,48.5268,77.31,77,61,21.77
132,Luwuk,ID,2021-07-28 21:27:25,-0.9516,122.7875,76.32,87,20,4.63
133,Tucurui,BR,2021-07-28 21:27:26,-3.7661,-49.6725,85.62,49,24,2.73
134,Bathsheba,BB,2021-07-28 21:27:26,13.2167,-59.5167,77.61,88,75,6.91
135,Gotsu,JP,2021-07-28 21:27:26,35.0,132.2167,73.53,82,5,3.44
136,Port Hedland,AU,2021-07-28 21:27:27,-20.3167,118.5667,64.45,72,3,9.22
137,Isangel,VU,2021-07-28 21:27:27,-19.55,169.2667,71.71,64,20,3.44
138,Itarema,BR,2021-07-28 21:27:28,-2.9248,-39.9167,79.14,81,5,15.21
139,Alice Springs,AU,2021-07-28 21:27:28,-23.7,133.8833,56.75,72,0,5.75
140,Batagay-Alyta,RU,2021-07-28 21:27:28,67.8006,130.4114,46.49,62,66,2.93
141,Busselton,AU,2021-07-28 21:27:29,-33.65,115.3333,59.09,75,64,24.81
142,Montorio Al Vomano,IT,2021-07-28 21:27:29,42.5831,13.6383,79.72,33,1,8.37
143,Safita,SY,2021-07-28 21:27:29,34.8205,36.1153,79.84,43,0,1.61
144,Mar Del Plata,AR,2021-07-28 21:27:30,-38.0023,-57.5575,45.0,63,75,1.01
145,Una,IN,2021-07-28 21:27:30,20.8167,71.0333,80.83,85,100,21.05
146,Georgetown,MY,2021-07-28 21:26:00,5.4112,100.3354,76.95,92,40,4.61
147,Vestmannaeyjar,IS,2021-07-28 21:27:31,63.4427,-20.2734,56.39,88,0,4.61
148,Qaanaaq,GL,2021-07-28 21:27:31,77.484,-69.3632,42.39,100,100,3.02
149,Porto Santo,PT,2021-07-28 21:27:31,33.072,-16.3415,71.98,78,40,12.66
150,Husavik,IS,2021-07-28 21:27:32,66.0449,-17.3389,48.11,97,100,8.01
151,Lompoc,US,2021-07-28 21:27:32,34.6391,-120.4579,94.01,66,40,13.8
152,Zhigansk,RU,2021-07-28 21:27:32,66.7697,123.3711,58.5,56,12,2.53
153,Port Elizabeth,ZA,2021-07-28 21:27:33,-33.918,25.5701,53.89,82,40,6.91
154,Rosetown,CA,2021-07-28 21:27:33,51.5501,-108.0014,82.98,15,10,1.14
155,Casino,AU,2021-07-28 21:27:33,-28.8667,153.05,62.56,77,72,9.22
156,Kungurtug,RU,2021-07-28 21:27:34,50.5994,97.5228,49.64,96,50,1.07
157,Natchez,US,2021-07-28 21:27:34,31.5604,-91.4032,94.44,56,1,0.0
158,Cherskiy,RU,2021-07-28 21:27:34,68.75,161.3,37.54,85,100,17.85
159,Staraya Poltavka,RU,2021-07-28 21:27:35,50.4772,46.4814,72.39,42,43,6.69
160,Huarmey,PE,2021-07-28 21:27:35,-10.0681,-78.1522,70.07,72,56,12.48
161,Gombong,ID,2021-07-28 21:27:35,-7.6072,109.5142,73.92,82,89,3.29
