City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Fortuna,US,40.5982,-124.1573,69.93,66,1,3.0,clear sky
167,Port Blair,IN,11.6667,92.75,81.19,84,57,19.22,broken clouds
168,Cap Malheureux,MU,-19.9842,57.6142,72.09,76,100,5.99,overcast clouds
169,Garissa,KE,-0.4536,39.6401,76.93,63,70,24.72,broken clouds
170,Peterhead,GB,57.5058,-1.7981,59.4,92,97,28.1,overcast clouds
171,Witu,KE,-2.3889,40.4382,75.11,80,13,13.67,few clouds
172,Padang,ID,-0.9492,100.3543,75.25,86,85,3.18,overcast clouds
173,Zaozerne,UA,45.1582,33.2787,65.95,63,100,11.95,overcast clouds
174,Nieuw Amsterdam,SR,5.8833,-55.0833,91.56,60,40,2.3,scattered clouds
175,Luderitz,NA,-26.6481,15.1594,58.21,75,2,12.84,clear sky
176,Farafangana,MG,-22.8167,47.8333,66.67,84,73,6.58,light rain
177,Jurmala,LV,56.968,23.7704,62.62,94,75,4.61,light intensity shower rain
178,Tasiilaq,GL,65.6145,-37.6368,39.36,58,100,9.37,overcast clouds
179,Saint George,US,37.1041,-113.5841,99.07,25,1,1.01,clear sky
180,Esperance,AU,-33.8667,121.9,51.64,67,68,10.58,broken clouds
181,Lerwick,GB,60.1545,-1.1494,51.8,77,100,20.6,overcast clouds
182,Lovozero,RU,68.005,35.0117,36.23,88,78,7.54,broken clouds
183,Galesong,ID,-5.3166,119.3661,75.22,86,66,3.56,broken clouds
184,San Cristobal,VE,7.7669,-72.225,77.18,81,100,5.73,overcast clouds
185,Nome,US,64.5011,-165.4064,42.87,87,90,6.91,overcast clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,83,75,10.36,broken clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,57.22,82,90,11.5,overcast clouds
188,Basco,PH,20.4487,121.9702,80.2,92,100,42.75,heavy intensity rain
189,Rio Grande,BR,-32.035,-52.0986,64.51,83,84,5.93,broken clouds
